Name,Category,Availability,Quantity,UPC,Price (excl. tax),Price (incl. tax),Tax,Number of reviews,URL
William Shakespeare's Star Wars: Verily  A New Hope (William Shakespeare's Star Wars #4),Science Fiction,In Stock,15,9270575728a13a61,43.3,43.3,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,
The Project,Science Fiction,In Stock,15,790ef197c8f236f5,10.65,10.65,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../the-project_856/index.html,
Soft Apocalypse,Science Fiction,In Stock,15,2a70769cdc6eb8b8,26.12,26.12,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../soft-apocalypse_833/index.html,
Sleeping Giants (Themis Files #1),Science Fiction,In Stock,11,f435aa99d864077d,48.74,48.74,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../sleeping-giants-themis-files-1_604/index.html,
Arena,Science Fiction,In Stock,11,2c34f9432069b52b,21.36,21.36,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../arena_587/index.html,
Foundation (Foundation (Publication Order) #1),Science Fiction,In Stock,5,3fc124f59f3068e4,32.42,32.42,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../foundation-foundation-publication-order-1_375/index.html,
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),Science Fiction,In Stock,3,0e92ccf1bd39e68f,10.92,10.92,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2_275/index.html,
Ready Player One,Science Fiction,In Stock,3,2ef5dc7e278e562a,19.07,19.07,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../ready-player-one_209/index.html,
Life  the Universe and Everything (Hitchhiker's Guide to the Galaxy #3),Science Fiction,In Stock,3,4b3f4f151c99f472,33.26,33.26,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/index.html,
Dune (Dune #1),Science Fiction,In Stock,3,36d5884d44484277,54.86,54.86,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../dune-dune-1_151/index.html,
Do Androids Dream of Electric Sheep? (Blade Runner #1),Science Fiction,In Stock,3,98330e431e56a9ea,51.48,51.48,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html,
Three Wishes (River of Time: California #1),Science Fiction,In Stock,1,460f97a346b44bac,44.18,44.18,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../three-wishes-river-of-time-california-1_89/index.html,
The Last Girl (The Dominion Trilogy #1),Science Fiction,In Stock,1,16c71736dae78764,36.26,36.26,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../the-last-girl-the-dominion-trilogy-1_70/index.html,
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),Science Fiction,In Stock,1,6717a70913b3db79,34.96,34.96,0.0,0,http://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html/../../../../having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html,
The Book of Basketball: The NBA According to The Sports Guy,Sports and Games,In Stock,3,08decd9664e5d56e,44.84,44.84,0.0,0,http://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html/../../../../the-book-of-basketball-the-nba-according-to-the-sports-guy_232/index.html,
Friday Night Lights: A Town  a Team  and a Dream,Sports and Games,In Stock,3,a9aa3ed5b316470b,51.22,51.22,0.0,0,http://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html/../../../../friday-night-lights-a-town-a-team-and-a-dream_158/index.html,
Sugar Rush (Offensive Line #2),Sports and Games,In Stock,2,ce42e3de94226b2b,24.42,24.42,0.0,0,http://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html/../../../../sugar-rush-offensive-line-2_108/index.html,
Settling the Score (The Summer Games #1),Sports and Games,In Stock,1,132adf7335bb384a,44.91,44.91,0.0,0,http://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html/../../../../settling-the-score-the-summer-games-1_50/index.html,
Icing (Aces Hockey #2),Sports and Games,In Stock,1,3455b45888fb5053,40.44,40.44,0.0,0,http://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html/../../../../icing-aces-hockey-2_25/index.html,
The Torch Is Passed: A Harding Family Story,Add a comment,In Stock,16,4eed62cf5f8d8edf,19.09,19.09,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../the-torch-is-passed-a-harding-family-story_945/index.html,
The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety  Phobias  and Worry Using Acceptance and Commitment Therapy,Add a comment,In Stock,16,31075275518532d7,23.89,23.89,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,
The Art Forger,Add a comment,In Stock,16,80cfab6bcff3a244,40.76,40.76,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../the-art-forger_930/index.html,
On a Midnight Clear,Add a comment,In Stock,16,b757c0c361e689ce,14.07,14.07,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../on-a-midnight-clear_912/index.html,
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,In Stock,16,228f74b74f3a08ae,53.9,53.9,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,
Shobu Samurai  Project Aryoku (#3),Add a comment,In Stock,15,0c27e6c3744fc14b,29.06,29.06,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../shobu-samurai-project-aryoku-3_830/index.html,
Modern Romance,Add a comment,In Stock,15,caf4fe9311f1dc59,28.26,28.26,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../modern-romance_820/index.html,
The White Queen (The Cousins' War #1),Add a comment,In Stock,14,6875c5657661b2fb,25.91,25.91,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../the-white-queen-the-cousins-war-1_768/index.html,
The Song of Achilles,Add a comment,In Stock,14,e88fb1c9397cfb27,37.4,37.4,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../the-song-of-achilles_762/index.html,
The Immortal Life of Henrietta Lacks,Add a comment,In Stock,14,f72f61ad6a5f12ed,40.67,40.67,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../the-immortal-life-of-henrietta-lacks_753/index.html,
The Dovekeepers,Add a comment,In Stock,14,3d76bc83c6b644c9,48.78,48.78,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../the-dovekeepers_748/index.html,
More Than Music (Chasing the Dream #1),Add a comment,In Stock,14,47d47155e89c8be7,37.61,37.61,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../more-than-music-chasing-the-dream-1_716/index.html,
Code Name Verity (Code Name Verity #1),Add a comment,In Stock,14,33a3e0e3ffde0dcd,22.13,22.13,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../code-name-verity-code-name-verity-1_680/index.html,
Cell,Add a comment,In Stock,14,bfbb54bc8cdeed2b,20.29,20.29,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../cell_674/index.html,
Angels Walking (Angels Walking #1),Add a comment,In Stock,14,1fbb5f786e53a0ce,34.2,34.2,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../angels-walking-angels-walking-1_662/index.html,
A Series of Catastrophes and Miracles: A True Story of Love  Science  and Cancer,Add a comment,In Stock,14,c1379d3744f1dd2c,56.48,56.48,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655/index.html,
A People's History of the United States,Add a comment,In Stock,14,1ad06aed9349af46,40.79,40.79,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../a-peoples-history-of-the-united-states_654/index.html,
A Brush of Wings (Angels Walking #3),Add a comment,In Stock,14,01a177623cce9596,55.51,55.51,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../a-brush-of-wings-angels-walking-3_651/index.html,
Rook,Add a comment,In Stock,13,44d97b6707dae3f0,37.86,37.86,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../rook_647/index.html,
The Midnight Watch: A Novel of the Titanic and the Californian,Add a comment,In Stock,12,14e44163678e24dc,26.2,26.2,0.0,0,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html/../../../../the-midnight-watch-a-novel-of-the-titanic-and-the-californian_640/index.html,
Unicorn Tracks,Fantasy,In Stock,16,7ae099f3898e0209,18.78,18.78,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../unicorn-tracks_951/index.html,
Saga  Volume 6 (Saga (Collected Editions) #6),Fantasy,In Stock,16,c849f0b2f5d6a742,25.02,25.02,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../saga-volume-6-saga-collected-editions-6_924/index.html,
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,In Stock,16,0e691eda369f4e09,13.34,13.34,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../princess-between-worlds-wide-awake-princess-5_919/index.html,
Masks and Shadows,Fantasy,In Stock,16,fa9610a50a1bf149,56.4,56.4,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../masks-and-shadows_909/index.html,
Crown of Midnight (Throne of Glass #2),Fantasy,In Stock,16,7267864328ae8b9d,43.29,43.29,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../crown-of-midnight-throne-of-glass-2_888/index.html,
Avatar: The Last Airbender: Smoke and Shadow  Part 3 (Smoke and Shadow #3),Fantasy,In Stock,16,6d5300b2d8f37e07,28.09,28.09,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,In Stock,16,01d2001ac1e6f8a3,52.37,52.37,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,
Throne of Glass (Throne of Glass #1),Fantasy,In Stock,15,590a9cccf7db9f7d,35.07,35.07,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../throne-of-glass-throne-of-glass-1_868/index.html,
The Glittering Court (The Glittering Court #1),Fantasy,In Stock,15,2dbb7ec08cdd7f3c,44.28,44.28,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../the-glittering-court-the-glittering-court-1_845/index.html,
Hollow City (Miss Peregrine’s Peculiar Children #2),Fantasy,In Stock,15,4ce91d31c1e57c33,42.98,42.98,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../hollow-city-miss-peregrines-peculiar-children-2_813/index.html,
The Star-Touched Queen,Fantasy,In Stock,14,1528279aec1f3dce,46.02,46.02,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../the-star-touched-queen_764/index.html,
The Hidden Oracle (The Trials of Apollo #1),Fantasy,In Stock,14,992974ba6a0536ea,52.26,52.26,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../the-hidden-oracle-the-trials-of-apollo-1_752/index.html,
The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,In Stock,14,dc6f688b82e42a5b,44.73,44.73,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../the-bane-chronicles-the-bane-chronicles-1-11_746/index.html,
Island of Dragons (Unwanteds #7),Fantasy,In Stock,14,2b52334fab158861,29.65,29.65,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../island-of-dragons-unwanteds-7_705/index.html,
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Fantasy,In Stock,14,3c6fe637a0180b01,37.51,37.51,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html,
City of Glass (The Mortal Instruments #3),Fantasy,In Stock,14,966ebb738e0f9d9b,56.02,56.02,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../city-of-glass-the-mortal-instruments-3_678/index.html,
Searching for Meaning in Gailana,Fantasy,In Stock,13,2f0213137a80d485,38.73,38.73,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../searching-for-meaning-in-gailana_648/index.html,
The Star-Touched Queen,Fantasy,In Stock,12,4a7a25be293ad678,32.3,32.3,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../the-star-touched-queen_642/index.html,
A Shard of Ice (The Black Symphony Saga #1),Fantasy,In Stock,9,63d5f1651880dcea,56.63,56.63,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../a-shard-of-ice-the-black-symphony-saga-1_558/index.html,
King's Folly (The Kinsman Chronicles #1),Fantasy,In Stock,7,4c82371b8cd02d4d,39.61,39.61,0.0,0,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html/../../../../kings-folly-the-kinsman-chronicles-1_473/index.html,
Without Borders (Wanderlove #1),New Adult,In Stock,16,acddfeab2a407640,45.07,45.07,0.0,0,http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html/../../../../without-borders-wanderlove-1_956/index.html,
The Mistake (Off-Campus #2),New Adult,In Stock,15,99ff4cc6491e8f5c,43.29,43.29,0.0,0,http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html/../../../../the-mistake-off-campus-2_851/index.html,
The Matchmaker's Playbook (Wingmen Inc. #1),New Adult,In Stock,15,08db62f24627e71f,55.85,55.85,0.0,0,http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html/../../../../the-matchmakers-playbook-wingmen-inc-1_850/index.html,
The Hook Up (Game On #1),New Adult,In Stock,1,6e473eff459e809f,36.29,36.29,0.0,0,http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html/../../../../the-hook-up-game-on-1_68/index.html,
Shameless,New Adult,In Stock,1,c068c013d6921fea,58.35,58.35,0.0,0,http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html/../../../../shameless_52/index.html,
Off Sides (Off #1),New Adult,In Stock,1,b6f1cfadc4dd79d4,39.45,39.45,0.0,0,http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html/../../../../off-sides-off-1_38/index.html,
The Requiem Red,Young Adult,In Stock,19,f77dbf2323deb740,22.65,22.65,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../the-requiem-red_995/index.html,
Set Me Free,Young Adult,In Stock,19,ce6396b0f23f6ecc,17.46,17.46,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../set-me-free_988/index.html,
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,In Stock,16,cedf82b5086e4691,45.22,45.22,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,
Obsidian (Lux #1),Young Adult,In Stock,16,3c346ab1e76ae1f6,14.86,14.86,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../obsidian-lux-1_911/index.html,
Burning,Young Adult,In Stock,16,5ceb951f629700a2,28.81,28.81,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../burning_884/index.html,
A Fierce and Subtle Poison,Young Adult,In Stock,16,842790dfaa937484,28.13,28.13,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../a-fierce-and-subtle-poison_875/index.html,
Scarlett Epstein Hates It Here,Young Adult,In Stock,15,1c929cfd16b71907,43.55,43.55,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../scarlett-epstein-hates-it-here_828/index.html,
Nightingale  Sing,Young Adult,In Stock,15,50b8f80311b31ede,38.28,38.28,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../nightingale-sing_823/index.html,
Library of Souls (Miss Peregrine’s Peculiar Children #3),Young Adult,In Stock,15,ba54932df84e8cea,48.56,48.56,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,
Frostbite (Vampire Academy #2),Young Adult,In Stock,15,116a2fdc9a45bab0,29.99,29.99,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../frostbite-vampire-academy-2_810/index.html,
Wild Swans,Young Adult,In Stock,14,3fb15ace50d6142b,14.36,14.36,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../wild-swans_782/index.html,
Until Friday Night (The Field Party #1),Young Adult,In Stock,14,aba2db9afb1469c7,46.31,46.31,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../until-friday-night-the-field-party-1_775/index.html,
This Is Where It Ends,Young Adult,In Stock,14,f0f38174a7e689a3,27.12,27.12,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../this-is-where-it-ends_771/index.html,
The Darkest Lie,Young Adult,In Stock,14,6edacfd1f8ebb9eb,35.35,35.35,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../the-darkest-lie_747/index.html,
My Kind of Crazy,Young Adult,In Stock,14,137b0b2775701e11,40.36,40.36,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../my-kind-of-crazy_718/index.html,
Don't Get Caught,Young Adult,In Stock,14,ad2887ce04583910,55.35,55.35,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../dont-get-caught_687/index.html,
Catching Jordan (Hundred Oaks),Young Adult,In Stock,14,e2e7b683b4c15b7d,50.83,50.83,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../catching-jordan-hundred-oaks_673/index.html,
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Young Adult,In Stock,14,41164b8ac02a2c42,58.14,58.14,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-discover-the-secrets-of-the-universe-1_663/index.html,
The Epidemic (The Program 0.6),Young Adult,In Stock,12,f732d7d18a91d2ba,14.44,14.44,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../the-epidemic-the-program-06_636/index.html,
Stars Above (The Lunar Chronicles #4.5),Young Adult,In Stock,12,b63ea3f7a57ae099,48.05,48.05,0.0,0,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html/../../../../stars-above-the-lunar-chronicles-45_632/index.html,
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,In Stock,16,aadee1c326d286e3,42.96,42.96,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,In Stock,16,e4f74c16de34d440,57.36,57.36,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Science,In Stock,14,3edcccc4f341fb1a,44.74,44.74,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html,
Tipping Point for Planet Earth: How Close Are We to the Edge?,Science,In Stock,12,148715df5a02ea5e,37.55,37.55,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../tipping-point-for-planet-earth-how-close-are-we-to-the-edge_643/index.html,
The Fabric of the Cosmos: Space  Time  and the Texture of Reality,Science,In Stock,9,ca74f2e3c35a3e77,55.91,55.91,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../the-fabric-of-the-cosmos-space-time-and-the-texture-of-reality_572/index.html,
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,Science,In Stock,8,0c11e2d068768dbb,28.41,28.41,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engaging-the-world_517/index.html,
The Origin of Species,Science,In Stock,7,0345872b14f9e774,10.01,10.01,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../the-origin-of-species_499/index.html,
The Grand Design,Science,In Stock,5,3213b1f13f5f0f7c,13.76,13.76,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../the-grand-design_405/index.html,
Peak: Secrets from the New Science of Expertise,Science,In Stock,5,6036239d2ab349b7,16.28,16.28,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../peak-secrets-from-the-new-science-of-expertise_389/index.html,
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Science,In Stock,3,c6bf14cb901c63ac,13.03,13.03,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultimate-theory_245/index.html,
The Disappearing Spoon: And Other True Tales of Madness  Love  and the History of the World from the Periodic Table of the Elements,Science,In Stock,3,63c0826ef59eae66,57.35,57.35,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../the-disappearing-spoon-and-other-true-tales-of-madness-love-and-the-history-of-the-world-from-the-periodic-table-of-the-elements_244/index.html,
Surely You're Joking  Mr. Feynman!: Adventures of a Curious Character,Science,In Stock,3,61002f3b7ba5d780,25.83,25.83,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../surely-youre-joking-mr-feynman-adventures-of-a-curious-character_227/index.html,
Seven Brief Lessons on Physics,Science,In Stock,3,281a244ce1954711,30.6,30.6,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../seven-brief-lessons-on-physics_219/index.html,
The Selfish Gene,Science,In Stock,1,6f2c0a9adbb2bca9,29.45,29.45,0.0,0,http://books.toscrape.com/catalogue/category/books/science_22/index.html/../../../../the-selfish-gene_81/index.html,
A Light in the Attic,Poetry,In Stock,22,a897fe39b1053632,51.77,51.77,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../a-light-in-the-attic_1000/index.html,
The Black Maria,Poetry,In Stock,19,1dfe412b8ac00530,52.15,52.15,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../the-black-maria_991/index.html,
Shakespeare's Sonnets,Poetry,In Stock,19,30a7f60cd76ca58c,20.66,20.66,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../shakespeares-sonnets_989/index.html,
Olio,Poetry,In Stock,19,feb7cc7701ecf901,23.88,23.88,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../olio_984/index.html,
You can't bury them all: Poems,Poetry,In Stock,17,55f9da0c5eea2e10,33.63,33.63,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../you-cant-bury-them-all-poems_961/index.html,
Slow States of Collapse: Poems,Poetry,In Stock,17,b4fd5943413e089a,57.31,57.31,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../slow-states-of-collapse-poems_960/index.html,
Untitled Collection: Sabbath Poems 2014,Poetry,In Stock,16,657fe5ead67a7767,14.27,14.27,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../untitled-collection-sabbath-poems-2014_953/index.html,
Poems That Make Grown Women Cry,Poetry,In Stock,15,31001a1210623bd4,14.19,14.19,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../poems-that-make-grown-women-cry_824/index.html,
Night Sky with Exit Wounds,Poetry,In Stock,15,cfeb1e1e0e695b58,41.05,41.05,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../night-sky-with-exit-wounds_822/index.html,
salt.,Poetry,In Stock,14,86cbddb61ea78bb7,46.78,46.78,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../salt_731/index.html,
Quarter Life Poetry: Poems for the Young  Broke and Hangry,Poetry,In Stock,14,aa35446aab16017f,50.89,50.89,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html,
Out of Print: City Lights Spotlight No. 14,Poetry,In Stock,8,c0fc0cd215ee1724,53.64,53.64,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../out-of-print-city-lights-spotlight-no-14_536/index.html,
Les Fleurs du Mal,Poetry,In Stock,8,c44c5e1425475206,29.04,29.04,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../les-fleurs-du-mal_530/index.html,
Howl and Other Poems,Poetry,In Stock,8,b7870fa6dc088fbb,40.45,40.45,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../howl-and-other-poems_522/index.html,
Leave This Song Behind: Teen Poetry at Its Best,Poetry,In Stock,7,b74ee891e2a6dd69,51.17,51.17,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../leave-this-song-behind-teen-poetry-at-its-best_474/index.html,
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Poetry,In Stock,6,3d250ab0f12be445,15.42,15.42,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html,
The Crossover,Poetry,In Stock,5,b228042c088b1913,38.77,38.77,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../the-crossover_398/index.html,
Booked,Poetry,In Stock,5,b54d7416bb445989,17.49,17.49,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../booked_365/index.html,
Twenty Love Poems and a Song of Despair,Poetry,In Stock,1,e63c3f25338baf9a,30.95,30.95,0.0,0,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html/../../../../twenty-love-poems-and-a-song-of-despair_91/index.html,
Vampire Knight  Vol. 1 (Vampire Knight #1),Paranormal,In Stock,1,e7e87087b1a44711,15.4,15.4,0.0,0,http://books.toscrape.com/catalogue/category/books/paranormal_24/index.html/../../../../vampire-knight-vol-1-vampire-knight-1_93/index.html,
